month,total_labs_usd_b,total_with_google_est_usd_b,anthropic_usd_b,openai_usd_b,google_usd_b,xai_usd_b,mistral_usd_b,cohere_usd_b,deepseek_usd_b,moonshot_usd_b,zhipu_usd_b,microsoft_usd_b,anthropic_status,openai_status,google_status,xai_status,mistral_status,cohere_status,deepseek_status,moonshot_status,zhipu_status,microsoft_status
2022-12,0.0466,0.0466,,0.035,,,,,,,0.0116,,,estimate,,,,,,,interp,
2023-01,0.0749,0.0749,,0.0626,,,,,,,0.0123,,,interp,,,,,,,interp,
2023-02,0.1249,0.1249,,0.1119,,,,,,,0.0131,,,interp,,,,,,,interp,
2023-03,0.2139,0.2139,,0.2,,,,,,,0.0139,,,reported,,,,,,,interp,
2023-04,0.2907,0.2907,,0.2759,,,,,,,0.0147,,,interp,,,,,,,interp,
2023-05,0.3964,0.3964,,0.3807,,,,,,,0.0156,,,interp,,,,,,,interp,
2023-06,0.5419,0.5419,,0.5253,,,,,,,0.0166,,,interp,,,,,,,interp,
2023-07,0.7424,0.7424,,0.7248,,,,,,,0.0176,,,interp,,,,,,,reported,
2023-08,1.0169,1.0169,,1.0,,,,,,,0.0169,,,reported,,,,,,,interp,
2023-09,1.1565,1.1565,,1.1402,,,,,,,0.0163,,,interp,,,,,,,interp,
2023-10,1.4157,1.4157,0.1,1.3,,,,,,,0.0157,,reported,reported,,,,,,,interp,
2023-11,1.723,1.723,0.0955,1.6125,,,,,,,0.0151,,interp,interp,,,,,,,interp,
2023-12,2.1186,2.1186,0.0911,2.0,,,,0.013,,,0.0145,,interp,reported,,,,reported,,,interp,
2024-01,2.3014,2.3014,0.087,2.1849,,,,0.0155,,,0.0139,,reported,interp,,,,interp,,,interp,
2024-02,2.5275,2.5275,0.1086,2.387,,,,0.0185,,,0.0134,,interp,interp,,,,interp,,,interp,
2024-03,2.7782,2.7782,0.1356,2.6077,,,,0.022,,,0.0129,,interp,interp,,,,reported,,,interp,
2024-04,3.055,3.055,0.1693,2.8488,,,,0.0244,,,0.0124,,interp,interp,,,,interp,,,reported,
2024-05,3.3657,3.3657,0.2114,3.1122,,,,0.0272,,,0.0149,,interp,interp,,,,interp,,,interp,
2024-06,3.7121,3.7121,0.264,3.4,,,,0.0302,,,0.0179,,interp,reported,,,,interp,,,interp,
2024-07,3.8832,3.8832,0.3296,3.4986,,,,0.0335,,,0.0216,,interp,interp,,,,interp,,,interp,
2024-08,4.0747,4.0747,0.4115,3.6,,,,0.0372,,,0.0259,,interp,reported,,,,interp,,,interp,
2024-09,4.5863,4.5863,0.5138,4.0,,,,0.0414,,,0.0312,,interp,reported,,,,interp,,,interp,
2024-10,5.3038,5.3038,0.6415,4.5789,,,,0.046,,,0.0375,10.0,interp,interp,,,,interp,,,reported,reported
2024-11,6.2332,6.2332,0.8009,5.2415,,0.1,,0.0511,,,0.0398,10.9139,interp,interp,,reported,,interp,,,interp,interp
2024-12,7.2134,7.2134,1.0,6.0,,0.1145,,0.0567,,,0.0422,11.9114,reported,reported,,interp,,interp,,,interp,interp
2025-01,8.052,8.052,1.2599,6.5332,,0.1311,0.02,0.063,,,0.0447,13.0,interp,interp,,interp,reported,interp,,,interp,reported
2025-02,8.9964,8.9964,1.5874,7.1138,,0.1502,0.0276,0.07,,,0.0474,14.0085,interp,interp,,interp,interp,reported,,,interp,interp
2025-03,10.0851,10.0851,2.0,7.746,,0.172,0.0381,0.0788,,,0.0503,15.0951,reported,interp,,reported,interp,interp,,,interp,interp
2025-04,11.2696,11.2696,2.4495,8.4343,,0.1911,0.0525,0.0888,,,0.0533,16.2661,interp,interp,,interp,interp,interp,,,reported,interp
2025-05,12.6323,12.6323,3.0,9.1839,,0.2124,0.0725,0.1,,,0.0635,17.528,reported,interp,,interp,interp,reported,,,interp,interp
2025-06,14.3932,14.3932,3.873,10.0,,0.236,0.1,0.1084,,,0.0757,18.8877,interp,reported,,reported,reported,interp,,,interp,interp
2025-07,17.6475,17.6475,5.0,12.0,,0.2878,0.1518,0.1176,,,0.0903,20.3529,reported,reported,,interp,interp,interp,,,interp,interp
2025-08,19.4101,19.4101,5.5934,13.0,,0.351,0.2305,0.1275,,,0.1077,21.9317,interp,reported,,interp,interp,interp,,,interp,interp
2025-09,22.0272,24.7272,6.2573,14.7252,2.7,0.428,0.35,0.1383,,,0.1283,23.633,interp,interp,estimate,reported,reported,interp,,,interp,interp
2025-10,24.7797,27.9327,7.0,16.6793,3.1531,0.4355,0.3619,0.15,,,0.153,25.4663,reported,interp,interp,interp,interp,reported,,,reported,interp
2025-11,28.0305,31.7126,7.9373,18.8928,3.6821,0.443,0.3742,0.1897,,,0.1935,27.4419,interp,interp,interp,interp,interp,interp,,,interp,interp
2025-12,31.7223,36.0223,9.0,21.4,4.3,0.4508,0.3869,0.24,,,0.2447,29.5706,reported,reported,estimate,interp,interp,reported,,,interp,interp
2026-01,35.7631,40.7972,11.225,23.1301,5.0342,0.4586,0.4,0.24,,,0.3094,31.8645,interp,interp,interp,interp,reported,carry,,,interp,interp
2026-02,40.4979,46.3916,14.0,25.0,5.8937,0.4666,0.4,0.24,,,0.3913,34.3364,reported,reported,interp,interp,carry,carry,,,interp,interp
2026-03,45.6095,52.5095,19.0,25.0,6.9,0.4747,0.4,0.24,,,0.4948,37.0,reported,interp,estimate,interp,carry,carry,,,interp,reported
2026-04,56.9487,64.5431,30.0,25.0,7.5944,0.483,0.4,0.24,,0.2,0.6257,37.0,reported,interp,interp,interp,carry,carry,,reported,interp,carry
2026-05,74.1676,82.5263,47.0,25.0,8.3588,0.4914,0.4,0.24,,0.2449,0.7912,37.0,reported,estimate,interp,interp,carry,carry,,interp,interp,carry
2026-06,86.9528,96.1528,55.2721,29.2402,9.2,0.5,0.4,0.24,,0.3,1.0005,37.0,interp,interp,estimate,estimate,carry,carry,,reported,interp,carry
2026-07,102.3548,111.5548,65.0,34.1995,9.2,0.5,0.4,0.24,0.45,0.3,1.2653,37.0,reported,interp,carry,carry,carry,carry,reported,carry,interp,carry
2026-08,108.49,117.69,65.0,40.0,9.2,0.5,0.4,0.24,0.45,0.3,1.6,37.0,carry,reported,carry,carry,carry,carry,carry,carry,reported,carry
