industry_id,industry,year,nominal_usd_b,real_2024_usd_b,pct_of_us_gdp
rail,US Railroads,1850,0.04,1.6087,1.53846
rail,US Railroads,1851,0.045,1.7987,1.6422
rail,US Railroads,1852,0.0506,2.0112,1.75294
rail,US Railroads,1853,0.057,2.2488,1.87115
rail,US Railroads,1854,0.0641,2.5144,1.99732
rail,US Railroads,1855,0.0721,2.8114,2.13201
rail,US Railroads,1856,0.0811,3.1435,2.27577
rail,US Railroads,1857,0.0913,3.5149,2.42923
rail,US Railroads,1858,0.1027,3.9301,2.59304
rail,US Railroads,1859,0.1155,4.3943,2.7679
rail,US Railroads,1860,0.13,4.9134,2.95455
rail,US Railroads,1861,0.1455,4.8522,3.12607
rail,US Railroads,1862,0.1628,4.7918,3.30755
rail,US Railroads,1863,0.1821,4.7322,3.49957
rail,US Railroads,1864,0.2038,4.6733,3.70273
rail,US Railroads,1865,0.228,4.6151,3.91769
rail,US Railroads,1866,0.2552,5.3741,4.14513
rail,US Railroads,1867,0.2855,6.2578,4.38577
rail,US Railroads,1868,0.3195,7.2868,4.64038
rail,US Railroads,1869,0.3575,8.485,4.90977
rail,US Railroads,1870,0.4,9.8803,5.19481
rail,US Railroads,1871,0.4172,10.5346,5.25826
rail,US Railroads,1872,0.4352,11.2322,5.32249
rail,US Railroads,1873,0.454,11.976,5.3875
rail,US Railroads,1874,0.4736,12.7691,5.45331
rail,US Railroads,1875,0.494,13.6147,5.51992
rail,US Railroads,1876,0.5153,14.5163,5.58735
rail,US Railroads,1877,0.5375,15.4775,5.6556
rail,US Railroads,1878,0.5606,16.5025,5.72468
rail,US Railroads,1879,0.5848,17.5953,5.7946
rail,US Railroads,1880,0.61,18.7605,5.86538
rail,US Railroads,1881,0.644,20.0348,6.02881
rail,US Railroads,1882,0.68,21.3958,6.1968
rail,US Railroads,1883,0.7179,22.8491,6.36946
rail,US Railroads,1884,0.758,24.4012,6.54694
rail,US Railroads,1885,0.8003,26.0587,6.72936
rail,US Railroads,1886,0.845,27.8288,6.91686
rail,US Railroads,1887,0.8921,29.7192,7.10958
rail,US Railroads,1888,0.9419,31.7379,7.30768
rail,US Railroads,1889,0.9945,33.8938,7.5113
rail,US Railroads,1890,1.05,36.1962,7.72059
rail,US Railroads,1891,1.0874,37.7866,7.67039
rail,US Railroads,1892,1.1261,39.447,7.62051
rail,US Railroads,1893,1.1662,41.1804,7.57096
rail,US Railroads,1894,1.2078,42.9899,7.52173
rail,US Railroads,1895,1.2508,44.8789,7.47282
rail,US Railroads,1896,1.2954,46.8509,7.42423
rail,US Railroads,1897,1.3415,48.9096,7.37596
rail,US Railroads,1898,1.3893,51.0587,7.328
rail,US Railroads,1899,1.4388,53.3023,7.28035
rail,US Railroads,1900,1.49,55.6444,7.23301
rail,US Railroads,1901,1.5876,58.6258,7.34316
rail,US Railroads,1902,1.6916,61.7669,7.45499
rail,US Railroads,1903,1.8024,65.0763,7.56853
rail,US Railroads,1904,1.9204,68.563,7.68379
rail,US Railroads,1905,2.0462,72.2366,7.80081
rail,US Railroads,1906,2.1802,76.107,7.91961
rail,US Railroads,1907,2.323,80.1847,8.04021
rail,US Railroads,1908,2.4752,84.4809,8.16266
rail,US Railroads,1909,2.6373,89.0073,8.28697
rail,US Railroads,1910,2.81,93.7763,8.41317
rail,US Railroads,1911,2.9285,96.0557,7.95467
rail,US Railroads,1912,3.0519,98.3906,7.52115
rail,US Railroads,1913,3.1806,100.7822,7.11125
rail,US Railroads,1914,3.3146,94.9923,6.7237
rail,US Railroads,1915,3.4544,89.5351,6.35727
rail,US Railroads,1916,3.6,84.3914,6.0108
rail,US Railroads,1917,4.1422,87.8218,6.27471
rail,US Railroads,1918,4.7661,91.3916,6.5502
rail,US Railroads,1919,5.484,95.1065,6.83779
rail,US Railroads,1920,6.31,98.9724,7.13801
rail,US Railroads,1921,6.3067,101.5973,7.00208
rail,US Railroads,1922,6.3033,104.2919,6.86874
rail,US Railroads,1923,6.3,107.058,6.73794
rail,US Railroads,1924,6.2966,109.8974,6.60964
rail,US Railroads,1925,6.2933,112.8122,6.48377
rail,US Railroads,1926,6.29,113.4061,6.3603
rail,US Railroads,1927,6.2867,114.0032,6.23918
rail,US Railroads,1928,6.2833,114.6034,6.12037
rail,US Railroads,1929,6.28,115.2068,6.00382
rail,US Railroads,1930,5.2639,103.417,5.85211
rail,US Railroads,1931,4.4123,92.8337,5.70423
rail,US Railroads,1932,3.6984,83.3334,5.56008
rail,US Railroads,1933,3.1,74.8054,5.41958
rail,US Railroads,1934,3.2548,76.5577,5.23233
rail,US Railroads,1935,3.4173,78.351,5.05155
rail,US Railroads,1936,3.5879,80.1864,4.87701
rail,US Railroads,1937,3.7671,82.0647,4.70851
rail,US Railroads,1938,3.9552,86.9752,4.54582
rail,US Railroads,1939,4.1527,92.1795,4.38876
rail,US Railroads,1940,4.36,97.6951,4.23712
rail,US Railroads,1941,5.2832,112.5782,4.37826
rail,US Railroads,1942,6.4019,129.7286,4.52409
rail,US Railroads,1943,7.7574,149.4918,4.67479
rail,US Railroads,1944,9.4,172.2657,4.8305
rail,US Railroads,1945,9.4116,164.0238,4.12429
rail,US Railroads,1946,9.4233,154.9155,3.90901
rail,US Railroads,1947,9.4349,146.3131,3.70497
rail,US Railroads,1948,9.4466,138.1883,3.51159
rail,US Railroads,1949,9.4583,130.5147,3.32829
rail,US Railroads,1950,9.47,123.2672,3.15456
rail,US Railroads,1951,9.474,120.7277,2.97413
rail,US Railroads,1952,9.478,118.2406,2.80401
rail,US Railroads,1953,9.482,115.8046,2.64362
rail,US Railroads,1954,9.486,113.4189,2.49241
rail,US Railroads,1955,9.49,111.0823,2.34985
rail,US Railroads,1956,9.494,108.9423,2.21544
rail,US Railroads,1957,9.498,106.8436,2.08872
rail,US Railroads,1958,9.502,104.7852,1.96925
rail,US Railroads,1959,9.506,102.7665,1.85661
rail,US Railroads,1960,9.51,100.7867,1.75041
rail,US Railroads,1961,9.7329,101.874,1.67354
rail,US Railroads,1962,9.9611,102.973,1.60005
rail,US Railroads,1963,10.1946,104.0839,1.52978
rail,US Railroads,1964,10.4336,105.2068,1.46259
rail,US Railroads,1965,10.6782,106.3418,1.39836
rail,US Railroads,1966,10.9286,104.3911,1.33695
rail,US Railroads,1967,11.1848,102.4762,1.27824
rail,US Railroads,1968,11.447,100.5965,1.2221
rail,US Railroads,1969,11.7154,98.7512,1.16843
rail,US Railroads,1970,11.99,96.9398,1.11712
rail,US Railroads,1971,13.0559,98.8782,1.10297
rail,US Railroads,1972,14.2166,100.8554,1.089
rail,US Railroads,1973,15.4805,102.8721,1.07521
rail,US Railroads,1974,16.8568,104.9292,1.0616
rail,US Railroads,1975,18.3554,107.0274,1.04815
rail,US Railroads,1976,19.9872,107.0175,1.03488
rail,US Railroads,1977,21.7641,107.0076,1.02177
rail,US Railroads,1978,23.6989,106.9976,1.00883
rail,US Railroads,1979,25.8058,106.9877,0.99606
rail,US Railroads,1980,28.1,106.9778,0.98345
rail,US Railroads,1981,28.0597,101.2731,0.91238
rail,US Railroads,1982,28.0195,95.8726,0.84645
rail,US Railroads,1983,27.9794,90.76,0.78529
rail,US Railroads,1984,27.9393,85.9201,0.72854
rail,US Railroads,1985,27.8993,81.3383,0.67589
rail,US Railroads,1986,27.8593,78.1232,0.62705
rail,US Railroads,1987,27.8194,75.0351,0.58174
rail,US Railroads,1988,27.7795,72.0691,0.5397
rail,US Railroads,1989,27.7397,69.2204,0.50071
rail,US Railroads,1990,27.7,66.4842,0.46452
rail,US Railroads,1991,28.2818,65.827,0.44912
rail,US Railroads,1992,28.8758,65.1763,0.43423
rail,US Railroads,1993,29.4824,64.532,0.41983
rail,US Railroads,1994,30.1016,63.8941,0.40591
rail,US Railroads,1995,30.7339,63.2625,0.39245
